0.000000	0.800000	0.000000	0.800000	0.960051	0.000310	0.000310
0.000000	0.800000	0.800000	1.444000	0.981193	0.000315	0.000315
0.000000	0.800000	1.444000	1.566000	1.010593	0.000386	0.000386
0.000000	0.800000	1.566000	2.000000	1.008511	0.000333	0.000333
0.000000	0.800000	2.000000	2.500000	1.019533	0.000335	0.000335
0.800000	1.444000	0.000000	0.800000	0.981198	0.000315	0.000315
0.800000	1.444000	0.800000	1.444000	0.987647	0.000321	0.000321
0.800000	1.444000	1.444000	1.566000	0.979871	0.000389	0.000389
0.800000	1.444000	1.566000	2.000000	0.989616	0.000337	0.000337
0.800000	1.444000	2.000000	2.500000	0.989187	0.000336	0.000336
1.444000	1.566000	0.000000	0.800000	1.010401	0.000386	0.000386
1.444000	1.566000	0.800000	1.444000	0.980549	0.000389	0.000389
1.444000	1.566000	1.444000	1.566000	0.956109	0.000637	0.000637
1.444000	1.566000	1.566000	2.000000	0.979445	0.000436	0.000436
1.444000	1.566000	2.000000	2.500000	0.973385	0.000440	0.000440
1.566000	2.000000	0.000000	0.800000	1.008612	0.000333	0.000333
1.566000	2.000000	0.800000	1.444000	0.989560	0.000337	0.000337
1.566000	2.000000	1.444000	1.566000	0.979484	0.000437	0.000437
1.566000	2.000000	1.566000	2.000000	0.994754	0.000351	0.000351
1.566000	2.000000	2.000000	2.500000	0.985796	0.000354	0.000354
2.000000	2.500000	0.000000	0.800000	1.019509	0.000335	0.000335
2.000000	2.500000	0.800000	1.444000	0.989206	0.000336	0.000336
2.000000	2.500000	1.444000	1.566000	0.973887	0.000439	0.000439
2.000000	2.500000	1.566000	2.000000	0.985851	0.000354	0.000354
2.000000	2.500000	2.000000	2.500000	0.969970	0.000353	0.000353

